35:*******************************************,
Transient Analysis,
Mon Nov 14 20:39:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],v(out) [V],
1.03443e-08,0.45,-7.962e-10,
1.03453e-08,0.45,-2.76167e-09,
1.03463e-08,0.45,-7.25468e-09,
1.03473e-08,0.45,-9.16991e-09,
1.03483e-08,0.45,-8.44466e-09,
1.03493e-08,0.45,-6.01431e-09,
1.03503e-08,0.45,-5.12887e-09,
1.03513e-08,0.45,-5.85564e-09,
1.03523e-08,0.45,5.33896e-09,
1.03533e-08,0.45,3.69052e-09,
1.03543e-08,0.45,8.91027e-09,
1.03553e-08,0.45,1.95442e-08,
1.03563e-08,0.45,1.22787e-08,
1.03573e-08,0.45,1.05274e-08,
1.03583e-08,0.45,9.66455e-09,
1.03593e-08,0.45,6.83015e-09,
1.03603e-08,0.45,4.274e-09,
1.03613e-08,0.45,5.26631e-09,
1.03623e-08,0.45,2.95546e-09,
1.03633e-08,0.45,2.02475e-09,
1.03643e-08,0.45,6.2427e-10,
1.03653e-08,0.45,5.02281e-09,
1.03663e-08,0.45,7.10305e-09,
1.03673e-08,0.45,1.10951e-08,
1.03683e-08,0.45,9.57551e-09,
1.03693e-08,0.45,1.16111e-08,
1.03703e-08,0.45,9.76066e-09,
1.03713e-08,0.45,6.38643e-09,
1.03723e-08,0.45,4.8211e-09,
1.03733e-08,0.45,7.37075e-09,
1.03743e-08,0.45,5.15862e-09,
1.03753e-08,0.45,7.10546e-09,
1.03763e-08,0.45,9.58015e-09,
1.03773e-08,0.45,1.16254e-08,
1.03783e-08,0.45,1.38761e-08,
1.03793e-08,0.45,1.69837e-08,
1.03803e-08,0.45,1.01929e-08,
1.03813e-08,0.45,5.47838e-09,
1.03823e-08,0.45,-2.32911e-09,
1.03833e-08,0.45,-7.60705e-09,
1.03843e-08,0.45,-1.6068e-08,
1.03853e-08,0.45,-2.19995e-08,
1.03863e-08,0.45,-3.09977e-08,
1.03873e-08,0.45,-4.05566e-08,
1.03883e-08,0.45,-4.93507e-08,
1.03893e-08,0.45,-6.01577e-08,
1.03903e-08,0.45,-7.02162e-08,
1.03913e-08,0.45,-2.31187e-08,
1.03923e-08,0.45,-6.00688e-09,
1.03933e-08,0.45,3.36593e-09,
1.03943e-08,0.45,3.47114e-09,
1.03953e-08,0.45,8.59773e-09,
1.03963e-08,0.45,9.09757e-09,
1.03973e-08,0.45,7.21172e-09,
1.03983e-08,0.45,7.56152e-10,
1.03993e-08,0.45,-1.00016e-09,
1.04003e-08,0.45,-6.8143e-09,
1.04013e-08,0.45,-8.89562e-09,
1.04023e-08,0.45,-1.62254e-08,
1.04033e-08,0.45,-1.83413e-08,
1.04043e-08,0.45,-2.63499e-08,
1.04053e-08,0.45,-2.78323e-08,
1.04063e-08,0.45,-3.6037e-08,
1.04073e-08,0.45,-3.72489e-08,
1.04083e-08,0.45,-4.49204e-08,
1.04093e-08,0.45,-4.78232e-08,
1.04103e-08,0.45,-5.59479e-08,
1.04113e-08,0.45,-9.10398e-09,
1.04123e-08,0.45,-1.88918e-09,
1.04133e-08,0.45,4.29295e-09,
1.04143e-08,0.45,3.05288e-09,
1.04153e-08,0.45,9.06181e-09,
1.04163e-08,0.45,8.00099e-09,
1.04173e-08,0.45,1.35146e-08,
1.04183e-08,0.45,1.04122e-08,
1.04193e-08,0.45,1.60753e-08,
1.04203e-08,0.45,1.43277e-08,
1.04213e-08,0.45,9.93261e-09,
1.04223e-08,0.45,5.2475e-09,
1.04233e-08,0.45,7.76741e-09,
1.04243e-08,0.45,3.5084e-09,
1.04253e-08,0.45,6.20862e-09,
1.04263e-08,0.45,2.606e-09,
1.04273e-08,0.45,5.44985e-09,
1.04283e-08,0.45,4.66895e-10,
1.04293e-08,0.45,3.14165e-09,
1.04303e-08,0.45,-1.19737e-09,
1.04313e-08,0.45,1.9882e-09,
1.04323e-08,0.45,-2.796e-09,
1.04333e-08,0.45,6.77297e-10,
1.04343e-08,0.45,-4.85591e-09,
1.04353e-08,0.45,-1.41436e-09,
1.04363e-08,0.45,-6.3901e-09,
1.04373e-08,0.45,-2.7727e-09,
1.04383e-08,0.45,-7.87934e-09,
1.04393e-08,0.45,-4.2937e-09,
1.04403e-08,0.45,-9.92951e-09,
1.04413e-08,0.45,-6.09391e-09,
1.04423e-08,0.45,-1.12842e-08,
1.04433e-08,0.45,-7.63308e-09,
1.04443e-08,0.45,-1.29335e-08,
1.04453e-08,0.45,-9.28841e-09,
1.04463e-08,0.45,-1.46643e-08,
1.04473e-08,0.45,1.47668e-09,
1.04483e-08,0.45,1.85255e-09,
1.04493e-08,0.45,4.12536e-09,
1.04503e-08,0.45,5.38898e-10,
1.04513e-08,0.45,2.75543e-09,
1.04523e-08,0.45,-2.43573e-10,
1.04533e-08,0.45,3.10699e-09,
1.04543e-08,0.45,-4.85681e-10,
1.04553e-08,0.45,3.52373e-09,
1.04563e-08,0.45,1.66452e-10,
1.04573e-08,0.45,3.40515e-09,
1.04583e-08,0.45,2.78433e-10,
1.04593e-08,0.45,3.48497e-09,
1.04603e-08,0.45,-6.07267e-10,
1.04613e-08,0.45,3.6585e-09,
1.04623e-08,0.45,-8.62739e-10,
1.04633e-08,0.45,3.38425e-09,
1.04643e-08,0.45,1.73335e-09,
1.04653e-08,0.45,2.14075e-09,
1.04663e-08,0.45,2.0724e-09,
1.04673e-08,0.45,6.05553e-09,
1.04683e-08,0.45,5.99175e-09,
1.04693e-08,0.45,6.95788e-09,
1.04703e-08,0.45,1.24254e-09,
1.04713e-08,0.45,3.51523e-09,
1.04723e-08,0.45,1.40038e-09,
1.04733e-08,0.45,2.58492e-09,
1.04743e-08,0.45,2.76347e-09,
1.04753e-08,0.45,7.89576e-09,
