31:*******************************************,
Transient Analysis,
Mon Nov 14 20:28:07 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.04693e-08,0.45,9.29633e-08,
1.04703e-08,0.45,-1.12841e-07,
1.04713e-08,0.45,9.01209e-08,
1.04723e-08,0.45,-1.14351e-07,
1.04733e-08,0.45,9.36388e-08,
1.04743e-08,0.45,-1.13345e-07,
1.04753e-08,0.45,9.19174e-08,
1.04763e-08,0.45,-1.14824e-07,
1.04773e-08,0.45,9.5794e-08,
1.04783e-08,0.45,-1.123e-07,
1.04793e-08,0.45,9.1815e-08,
1.04803e-08,0.45,-1.16645e-07,
1.04813e-08,0.45,9.67805e-08,
1.04823e-08,0.45,-1.15211e-07,
1.04833e-08,0.45,9.3208e-08,
1.04843e-08,0.45,-1.1792e-07,
1.04853e-08,0.45,9.46774e-08,
1.04863e-08,0.45,-1.13976e-07,
1.04873e-08,0.45,9.52708e-08,
1.04883e-08,0.45,-1.18087e-07,
1.04893e-08,0.45,9.68801e-08,
1.04903e-08,0.45,-1.16294e-07,
1.04913e-08,0.45,9.41517e-08,
1.04923e-08,0.45,-1.18085e-07,
1.04933e-08,0.45,9.63466e-08,
1.04943e-08,0.45,-1.1705e-07,
1.04953e-08,0.45,9.35663e-08,
1.04963e-08,0.45,-1.18699e-07,
1.04973e-08,0.45,9.57583e-08,
1.04983e-08,0.45,-1.17268e-07,
1.04993e-08,0.45,9.23425e-08,
1.05003e-08,0.45,-1.19416e-07,
1.05013e-08,0.45,9.35841e-08,
1.05023e-08,0.45,-1.18748e-07,
1.05033e-08,0.45,9.0097e-08,
1.05043e-08,0.45,-1.20148e-07,
1.05053e-08,0.45,8.7928e-08,
1.05063e-08,0.45,-1.15691e-07,
1.05073e-08,0.45,8.74189e-08,
1.05083e-08,0.45,-1.16195e-07,
1.05093e-08,0.45,9.39297e-08,
1.05103e-08,0.45,-1.12115e-07,
1.05113e-08,0.45,8.83195e-08,
1.05123e-08,0.45,-1.11395e-07,
1.05133e-08,0.45,9.71529e-08,
1.05143e-08,0.45,-1.12866e-07,
1.05153e-08,0.45,8.95993e-08,
1.05163e-08,0.45,-1.1573e-07,
1.05173e-08,0.45,9.0393e-08,
1.05183e-08,0.45,-1.14478e-07,
1.05193e-08,0.45,9.28922e-08,
1.05203e-08,0.45,-1.07186e-07,
1.05213e-08,0.45,9.63431e-08,
1.05223e-08,0.45,-1.0679e-07,
1.05233e-08,0.45,9.27296e-08,
1.05243e-08,0.45,-1.07917e-07,
1.05253e-08,0.45,8.87912e-08,
1.05263e-08,0.45,-1.06348e-07,
1.05273e-08,0.45,9.13976e-08,
1.05283e-08,0.45,-1.08362e-07,
1.05293e-08,0.45,8.85727e-08,
1.05303e-08,0.45,-1.03389e-07,
1.05313e-08,0.45,8.83116e-08,
1.05323e-08,0.45,-1.04766e-07,
1.05333e-08,0.45,8.83144e-08,
1.05343e-08,0.45,-1.16785e-07,
1.05353e-08,0.45,9.5306e-08,
1.05363e-08,0.45,-1.12798e-07,
1.05373e-08,0.45,9.44834e-08,
1.05383e-08,0.45,-1.09871e-07,
1.05393e-08,0.45,9.64541e-08,
1.05403e-08,0.45,-1.059e-07,
1.05413e-08,0.45,8.80857e-08,
1.05423e-08,0.45,-1.05195e-07,
1.05433e-08,0.45,9.97456e-08,
1.05443e-08,0.45,-1.00622e-07,
1.05453e-08,0.45,8.1531e-08,
1.05463e-08,0.45,-1.01913e-07,
1.05473e-08,0.45,9.18179e-08,
1.05483e-08,0.45,-1.04832e-07,
1.05493e-08,0.45,8.94076e-08,
1.05503e-08,0.45,-1.02451e-07,
1.05513e-08,0.45,7.94142e-08,
