26:*******************************************,
Transient Analysis,
Mon Nov 14 20:23:51 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.02993e-08,0.45,8.37044e-09,
1.03003e-08,0.45,-1.88686e-09,
1.03013e-08,0.45,5.21502e-09,
1.03023e-08,0.45,-3.80372e-09,
1.03033e-08,0.45,8.90191e-09,
1.03043e-08,0.45,-2.07024e-09,
1.03053e-08,0.45,5.70039e-09,
1.03063e-08,0.45,-3.86757e-09,
1.03073e-08,0.45,8.94583e-09,
1.03083e-08,0.45,-2.21059e-09,
1.03093e-08,0.45,9.39898e-09,
1.03103e-08,0.45,-5.35788e-09,
1.03113e-08,0.45,1.02198e-08,
1.03123e-08,0.45,-5.7635e-09,
1.03133e-08,0.45,8.72397e-09,
1.03143e-08,0.45,-6.18432e-09,
1.03153e-08,0.45,9.97976e-09,
1.03163e-08,0.45,-5.30222e-09,
1.03173e-08,0.45,9.39084e-09,
1.03183e-08,0.45,-5.99571e-09,
1.03193e-08,0.45,9.584e-09,
1.03203e-08,0.45,-5.14599e-09,
1.03213e-08,0.45,9.71146e-09,
1.03223e-08,0.45,-8.17525e-09,
1.03233e-08,0.45,1.01537e-08,
1.03243e-08,0.45,-6.2335e-09,
1.03253e-08,0.45,1.0262e-08,
1.03263e-08,0.45,-7.02512e-09,
1.03273e-08,0.45,1.0296e-08,
1.03283e-08,0.45,-6.82056e-09,
1.03293e-08,0.45,1.05012e-08,
1.03303e-08,0.45,-7.26999e-09,
1.03313e-08,0.45,1.04756e-08,
1.03323e-08,0.45,-7.08717e-09,
1.03333e-08,0.45,1.01671e-08,
1.03343e-08,0.45,-7.17904e-09,
1.03353e-08,0.45,9.96398e-09,
1.03363e-08,0.45,-6.89229e-09,
1.03373e-08,0.45,1.04345e-08,
1.03383e-08,0.45,-7.36353e-09,
1.03393e-08,0.45,9.97744e-09,
1.03403e-08,0.45,-6.78307e-09,
1.03413e-08,0.45,1.06531e-08,
1.03423e-08,0.45,-7.18171e-09,
1.03433e-08,0.45,9.82572e-09,
1.03443e-08,0.45,-6.83272e-09,
1.03453e-08,0.45,1.02462e-08,
1.03463e-08,0.45,-7.62796e-09,
1.03473e-08,0.45,9.18976e-09,
1.03483e-08,0.45,-7.06194e-09,
1.03493e-08,0.45,9.0388e-09,
1.03503e-08,0.45,-7.93282e-09,
1.03513e-08,0.45,9.11306e-09,
1.03523e-08,0.45,-7.80435e-09,
1.03533e-08,0.45,9.97993e-09,
1.03543e-08,0.45,-8.39315e-09,
1.03553e-08,0.45,9.32877e-09,
1.03563e-08,0.45,-7.84483e-09,
1.03573e-08,0.45,1.01311e-08,
1.03583e-08,0.45,-8.19729e-09,
1.03593e-08,0.45,9.72049e-09,
1.03603e-08,0.45,-7.48187e-09,
1.03613e-08,0.45,8.89432e-09,
1.03623e-08,0.45,-8.90554e-09,
1.03633e-08,0.45,8.81742e-09,
1.03643e-08,0.45,-6.5239e-09,
1.03653e-08,0.45,7.428e-09,
1.03663e-08,0.45,-8.27148e-09,
1.03673e-08,0.45,8.54833e-09,
1.03683e-08,0.45,-8.54635e-09,
1.03693e-08,0.45,7.10365e-09,
1.03703e-08,0.45,-8.12647e-09,
1.03713e-08,0.45,7.6595e-09,
1.03723e-08,0.45,-7.34472e-09,
1.03733e-08,0.45,6.13966e-09,
1.03743e-08,0.45,-7.92127e-09,
1.03753e-08,0.45,7.2614e-09,
1.03763e-08,0.45,-6.64639e-09,
1.03773e-08,0.45,6.92525e-09,
1.03783e-08,0.45,-6.95234e-09,
1.03793e-08,0.45,7.17767e-09,
1.03803e-08,0.45,-6.92987e-09,
1.03813e-08,0.45,6.9887e-09,
1.03823e-08,0.45,-6.60963e-09,
1.03833e-08,0.45,7.57653e-09,
1.03843e-08,0.45,-6.94806e-09,
1.03853e-08,0.45,6.97922e-09,
1.03863e-08,0.45,-6.78252e-09,
1.03873e-08,0.45,7.00028e-09,
1.03883e-08,0.45,-7.06536e-09,
1.03893e-08,0.45,7.39258e-09,
1.03903e-08,0.45,-6.62906e-09,
1.03913e-08,0.45,7.37626e-09,
1.03923e-08,0.45,-7.03399e-09,
1.03933e-08,0.45,7.24143e-09,
1.03943e-08,0.45,-6.42938e-09,
1.03953e-08,0.45,7.41145e-09,
